,tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
36,1243588517395140609,World Health Organization (WHO),WHO,130,The full briefing on #COVID19 by @DrTedros 👇 https://t.co/LJwbrigVPJ,2020-03-29 19:11:20.492875,2020-03-27 17:19:41.000000,299,"[{'text': 'COVID19', 'indices': [21, 29]}]",49323,,Twitter Web App,None,None,None
37,1243575569385742342,World Health Organization (WHO),WHO,183,"""I’d like to end with something Singapore’s Minister of Health, @GANKIMYONG, said during today’s briefing.

We are only at the beginning of this fight. 

We need to stay calm, stay united and work together""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:20.492878,2020-03-27 16:28:14.000000,427,"[{'text': 'COVID19', 'indices': [217, 225]}, {'text': 'coronavirus', 'indices': [226, 238]}]",49323,,Twitter Web App,None,None,None
38,1243575401831706624,World Health Organization (WHO),WHO,129,"""Thank you for your efforts to work with us to protect the health systems, #healthworkers and members of the general public who rely on our information systems and digital tools""-@DrTedros #COVID19 #coronaviru https://t.co/M11m4O5zF2",2020-03-29 19:11:20.492881,2020-03-27 16:27:34.000000,320,"[{'text': 'healthworkers', 'indices': [75, 89]}, {'text': 'COVID19', 'indices': [189, 197]}, {'text': 'coronaviru', 'indices': [198, 209]}]",49323,,Twitter Web App,None,None,None
39,1243575236513206274,World Health Organization (WHO),WHO,59,"""I am very grateful to those working in various national organizations providing critical cybersecurity intelligence to the WHO Cybersecurity team""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:20.492884,2020-03-27 16:26:55.000000,219,"[{'text': 'COVID19', 'indices': [158, 166]}, {'text': 'coronavirus', 'indices': [167, 179]}]",49323,,Twitter Web App,None,None,None
40,1243575132108578818,World Health Organization (WHO),WHO,73,"""I’ve said before that crises like this bring out the best &amp; worst in humanity.
We have recently seen an increase in scams, cyberattacks &amp; impersonation using WHO, my name &amp; #COVID19""-@DrTedros #coronavirus",2020-03-29 19:11:20.492887,2020-03-27 16:26:30.000000,166,"[{'text': 'COVID19', 'indices': [186, 194]}, {'text': 'coronavirus', 'indices': [206, 218]}]",49323,,Twitter Web App,None,None,None
41,1243574933676007424,World Health Organization (WHO),WHO,92,"""The English version of our @WhatsApp Health Alert now has more than 12 million users, and the Arabic, French and Spanish versions were launched today. More languages will be added, incl Bangla, Chinese, Hindi, Kurdish, Portuguese, Russian, Somali, Urdu &amp; more""-@DrTedros #COVID19",2020-03-29 19:11:20.492890,2020-03-27 16:25:43.000000,181,"[{'text': 'COVID19', 'indices': [276, 284]}]",49323,,Twitter Web App,None,None,None
42,1243574782735585282,World Health Organization (WHO),WHO,73,"""We’re also delighted to report that the #COVID19 Solidarity Fund has now received donations of more than USD 108M, from 203,000 individuals &amp; organizations. 

Thank you to each and every one of you""-@DrTedros #coronavirus 
https://t.co/YcE5JHCDBq",2020-03-29 19:11:20.492894,2020-03-27 16:25:07.000000,157,"[{'text': 'COVID19', 'indices': [41, 49]}, {'text': 'coronavirus', 'indices': [214, 226]}]",49323,,Twitter Web App,None,None,None
43,1243574556901728258,World Health Organization (WHO),WHO,112,"""More than 1 million health workers have been trained through our courses on https://t.co/RjHSBkVjlH. We will continue to train more""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:20.492898,2020-03-27 16:24:13.000000,221,"[{'text': 'COVID19', 'indices': [144, 152]}, {'text': 'coronavirus', 'indices': [153, 165]}]",49323,,Twitter Web App,None,None,None
44,1243574433652105216,World Health Organization (WHO),WHO,78,"""WHO is continuing to support all countries in the response. 
We’ve published more than 40 guidance documents on our website, providing detailed, evidence-based recommendations for governments, hospitals, health workers, members of the public &amp; more""-@DrTedros",2020-03-29 19:11:20.492901,2020-03-27 16:23:44.000000,178,[],49323,,Twitter Web App,None,None,None
45,1243574329989873666,World Health Organization (WHO),WHO,72,"""As the #COVID19 pandemic evolves &amp; more countries are affected, we are learning more about what works &amp; what doesn't""-@DrTedros #coronavirus",2020-03-29 19:11:20.492907,2020-03-27 16:23:19.000000,156,"[{'text': 'COVID19', 'indices': [8, 16]}, {'text': 'coronavirus', 'indices': [137, 149]}]",49323,,Twitter Web App,None,None,None
46,1243574245411762178,World Health Organization (WHO),WHO,347,"""During the most recent #Ebola epidemic, for example, some medicines that were thought to be effective were found not to be as effective as other medicines when they were compared during a clinical trial.

We must follow the evidence. There are no shortcuts""-@DrTedros #COVID19",2020-03-29 19:11:20.492910,2020-03-27 16:22:59.000000,911,"[{'text': 'Ebola', 'indices': [24, 30]}, {'text': 'COVID19', 'indices': [269, 277]}]",49323,,Twitter Web App,None,None,None
47,1243574144794574848,World Health Organization (WHO),WHO,294,"""The history of medicine is strewn with examples of drugs that worked on paper, or in a test tube, but didn't work in humans or were actually harmful""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:20.492913,2020-03-27 16:22:35.000000,683,"[{'text': 'COVID19', 'indices': [161, 169]}, {'text': 'coronavirus', 'indices': [170, 182]}]",49323,,Twitter Web App,None,None,None
48,1243574085805842432,World Health Organization (WHO),WHO,349,"""In the meantime, we call on individuals &amp; countries to refrain from using therapeutics that have not been demonstrated to be effective in the treatment of #COVID19""-@DrTedros #coronavirus",2020-03-29 19:11:20.492916,2020-03-27 16:22:21.000000,704,"[{'text': 'COVID19', 'indices': [160, 168]}, {'text': 'coronavirus', 'indices': [180, 192]}]",49323,,Twitter Web App,None,None,None
49,1243574015890989057,World Health Organization (WHO),WHO,266,"""This is a historic trial which will dramatically cut the time needed to generate robust evidence about what 💊 work. Over 45 countries are contributing to the trial &amp; more have expressed interest. The more countries who join the trial, the faster we will have results""-@DrTedros",2020-03-29 19:11:20.492919,2020-03-27 16:22:04.000000,668,[],49323,,Twitter Web App,None,None,None
50,1243573903135510533,World Health Organization (WHO),WHO,772,"""Today we are delighted to announce that today in 🇳🇴 &amp; 🇪🇸, the first patients will shortly be enrolled in the Solidarity Trial, which will compare the safety &amp; effectiveness of four different drugs or drug combinations against #COVID19""-@DrTedros #coronavirus",2020-03-29 19:11:20.492922,2020-03-27 16:21:37.000000,1472,"[{'text': 'COVID19', 'indices': [235, 243]}, {'text': 'coronavirus', 'indices': [255, 267]}]",49323,,Twitter Web App,None,None,None
51,1243573813205499905,World Health Organization (WHO),WHO,654,"""A vaccine is still at least 18 months away. 

In the meantime, we recognize that there is an urgent need for therapeutics to treat patients &amp; save lives""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:20.492925,2020-03-27 16:21:16.000000,910,"[{'text': 'COVID19', 'indices': [169, 177]}, {'text': 'coronavirus', 'indices': [178, 190]}]",49323,,Twitter Web App,None,None,None
52,1243573701976698881,World Health Organization (WHO),WHO,106,"""To support our call on all countries to conduct aggressive case-finding and testing, we’re also working urgently to massively increase the production and capacity for testing around the world""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:20.492928,2020-03-27 16:20:49.000000,171,"[{'text': 'COVID19', 'indices': [204, 212]}, {'text': 'coronavirus', 'indices': [213, 225]}]",49323,,Twitter Web App,None,None,None
53,1243573626110124035,World Health Organization (WHO),WHO,241,"""When #healthworkers are at risk, we’re all at risk.

Health workers in low- &amp; middle-income countries deserve the same protection as those in the wealthiest countries""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:20.492931,2020-03-27 16:20:31.000000,385,"[{'text': 'healthworkers', 'indices': [6, 20]}, {'text': 'COVID19', 'indices': [183, 191]}, {'text': 'coronavirus', 'indices': [192, 204]}]",49323,,Twitter Web App,None,None,None
54,1243573569910640641,World Health Organization (WHO),WHO,97,"""WHO has shipped almost 2M individual items of protective gear to 74 countries that need it most &amp; we’re preparing to send a similar amount to a further 60 countries.
But much more is needed. This problem can only be solved with intl cooperation &amp; solidarity. ""-@DrTedros #COVID19",2020-03-29 19:11:20.492935,2020-03-27 16:20:18.000000,160,"[{'text': 'COVID19', 'indices': [280, 288]}]",49323,,Twitter Web App,None,None,None
55,1243573452990296064,World Health Organization (WHO),WHO,81,"""Countries also expressed several common challenges.

The chronic global shortage of personal protective equipment is now one of the most urgent threats to our collective ability to save lives""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:20.492938,2020-03-27 16:19:50.000000,124,"[{'text': 'COVID19', 'indices': [204, 212]}, {'text': 'coronavirus', 'indices': [213, 225]}]",49323,,Twitter Web App,None,None,None
56,1243573391468224515,World Health Organization (WHO),WHO,137,"""Several common themes emerged about what has worked: 
-The need for early detection &amp; isolation of confirmed cases
-Identification, follow-up &amp; quarantine of contacts
-The need to optimize care
-The need to communicate to build trust &amp; engage communities in the fight""-@DrTedros",2020-03-29 19:11:20.492941,2020-03-27 16:19:35.000000,205,[],49323,,Twitter Web App,None,None,None
57,1243573278674948097,World Health Organization (WHO),WHO,60,"""Earlier today, we held a briefing with around 50 Ministers of Health from around the world at which 🇨🇳🇯🇵🇰🇷&amp; 🇸🇬 shared their experiences and the lessons they have learned""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:20.492944,2020-03-27 16:19:08.000000,116,"[{'text': 'COVID19', 'indices': [186, 194]}, {'text': 'coronavirus', 'indices': [195, 207]}]",49323,,Twitter Web App,None,None,None
58,1243573201353035777,World Health Organization (WHO),WHO,50,"""This is especially important for countries who are not part of the @g20org but will be affected by decisions made by G20 countries""-@DrTedros #COVID19 
https://t.co/K9Yh8Af1Np",2020-03-29 19:11:20.492947,2020-03-27 16:18:50.000000,98,"[{'text': 'COVID19', 'indices': [143, 151]}]",49323,,Twitter Web App,None,None,None
59,1243573150673178624,World Health Organization (WHO),WHO,59,"""Viral outbreaks are a fact of life. How much damage they do is something we can influence. I thank the @g20org countries for their commitment to fight the #COVID19 pandemic, safeguard the 🌍 economy, address intl. trade disruptions &amp; enhance global cooperation""-@DrTedros",2020-03-29 19:11:20.492951,2020-03-27 16:18:38.000000,106,"[{'text': 'COVID19', 'indices': [156, 164]}]",49323,,Twitter Web App,None,None,None
60,1243573006930259968,World Health Organization (WHO),WHO,59,"""And ignite the industrial might and innovation of the @g20org to produce and distribute the tools needed to save lives.

We must also make a promise to future generations: never again""-@DrTedros #COVID19 #coronavirus",2020-03-29 19:11:20.492954,2020-03-27 16:18:03.000000,100,"[{'text': 'COVID19', 'indices': [196, 204]}, {'text': 'coronavirus', 'indices': [205, 217]}]",49323,,Twitter Web App,None,None,None
61,1243572946997841921,World Health Organization (WHO),WHO,83,"""Fight to stop the #coronavirus with every resource at our disposal;

Unite to confront the #COVID19 pandemic together. We are one humanity, with one, common enemy. No country can fight alone; we can only fight together""-@DrTedros",2020-03-29 19:11:20.492957,2020-03-27 16:17:49.000000,149,"[{'text': 'coronavirus', 'indices': [19, 31]}, {'text': 'COVID19', 'indices': [92, 100]}]",49323,,Twitter Web App,None,None,None
62,1243572861723455499,World Health Organization (WHO),WHO,48,"""Yesterday, I had the honour of addressing an extraordinary meeting of leaders from the @g20org countries.

My message was threefold: we must fight, unite &amp; ignite""-@DrTedros #COVID19 
https://t.co/jO5SIpYfnc",2020-03-29 19:11:20.492960,2020-03-27 16:17:29.000000,99,"[{'text': 'COVID19', 'indices': [179, 187]}]",49323,,Twitter Web App,None,None,None
63,1243572806408982529,World Health Organization (WHO),WHO,122,"""There are now more than 1/2 a million confirmed cases of #COVID19 &amp; more than 20,000 deaths.
These are tragic numbers, but let's also remember that around the 🌍, there are hundreds of thousands of survivors""-@DrTedros #coronavirus",2020-03-29 19:11:20.492964,2020-03-27 16:17:16.000000,223,"[{'text': 'COVID19', 'indices': [58, 66]}, {'text': 'coronavirus', 'indices': [223, 235]}]",49323,,Twitter Web App,None,None,None
64,1243572002050342912,World Health Organization (WHO),WHO,1687,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/VDzh2GSuPM,2020-03-29 19:11:20.492967,2020-03-27 16:14:04.000000,2712,"[{'text': 'COVID19', 'indices': [18, 26]}, {'text': 'coronavirus', 'indices': [43, 55]}]",49323,,Periscope,None,None,None
68,1243491357773172736,World Health Organization (WHO),WHO,528,"Preparation &amp; knowledge is 🔑 to beating the #coronavirus. Learn about coronaviruses &amp; emergency response with #OpenWHO courses:
-Intro to #COVID19
-Health &amp; safety
-Infection prevention &amp; control
-Clinical care
-Country capacitation
-Treatment facilities

https://t.co/56xVauRTas https://t.co/2tpT4IdlwC",2020-03-29 19:11:20.492980,2020-03-27 10:53:37.000000,881,"[{'text': 'coronavirus', 'indices': [48, 60]}, {'text': 'OpenWHO', 'indices': [118, 126]}, {'text': 'COVID19', 'indices': [146, 154]}]",49323,,Twitter Web App,None,None,None
74,1243467727802642432,World Health Organization (WHO),WHO,2441,"Join #OpenWHO: the free, open-access learning platform for health emergencies. Learn from public health experts about topics including #covid19, risk communication, #ebola, infection prevention &amp; much more.
Almost 1 million enrollments, join us today:
👉 https://t.co/56xVauRTas https://t.co/sLSgWaL2Lu",2020-03-29 19:11:20.492997,2020-03-27 09:19:43.000000,4384,"[{'text': 'OpenWHO', 'indices': [5, 13]}, {'text': 'covid19', 'indices': [135, 143]}, {'text': 'ebola', 'indices': [165, 171]}]",49323,,Twitter Web App,None,None,None
75,1243311642647109637,World Health Organization (WHO),WHO,349,"Older people &amp; people with pre-existing conditions are more susceptible to #COVID19. They should:

✔️Keep distance from people who are sick
✔️Wash 👐 often with soap &amp; water
✔️Quit 🚭/Quit drinking alcohol
✔️Protect mental health

More info👉https://t.co/bx8RdTRFz8 #coronavirus",2020-03-29 19:11:20.493000,2020-03-26 22:59:29.000000,547,"[{'text': 'COVID19', 'indices': [79, 87]}, {'text': 'coronavirus', 'indices': [271, 283]}]",49323,,Twitter for Android,None,None,None
76,1243302641163272196,World Health Organization (WHO),WHO,739,"Maintaining a healthy lifestyle is vital especially during #COVID19 outbreak. This includes:

✔️Eating healthy diets 🥕
✔️Staying physically active 🏃‍♂️
✔️Quitting smoking 🚭
✔️Avoiding alcohol consumption 🙅🍺
✔️Getting enough sleep 💤

https://t.co/bx8RdTRFz8 #coronavirus",2020-03-29 19:11:20.493003,2020-03-26 22:23:43.000000,1181,"[{'text': 'COVID19', 'indices': [59, 67]}, {'text': 'coronavirus', 'indices': [257, 269]}]",49323,,Twitter for Android,None,None,None
82,1243277460034158595,World Health Organization (WHO),WHO,525,"Smoking damages your lungs and other parts of your body, and it makes you more vulnerable to #COVID19 infection. It is the right time to 🚭 quit smoking for a safer and better health 💪 https://t.co/bx8RdTRFz8

#coronavirus https://t.co/oYgvkyerOZ",2020-03-29 19:11:20.493020,2020-03-26 20:43:40.000000,751,"[{'text': 'COVID19', 'indices': [93, 101]}, {'text': 'coronavirus', 'indices': [209, 221]}]",49323,,Twitter for Android,None,None,None
83,1243268283987644418,World Health Organization (WHO),WHO,527,"Using tobacco products can increase your chance of getting #COVID19

❗️Bringing your👐to your👄can transfer the virus into your body
❗️Sharing tobacco products can transmit the virus btw. people
❗️Tobacco weakens your respiratory system making you more vulnerable to the virus https://t.co/5xFVxxx4ZJ",2020-03-29 19:11:20.493022,2020-03-26 20:07:12.000000,669,"[{'text': 'COVID19', 'indices': [59, 67]}]",49323,,Twitter for Android,None,None,None
84,1243257078766080001,World Health Organization (WHO),WHO,607,"To stay safe during #COVID19 outbreak, here are tips for people affected by NCDs:

✔️Take your medicine &amp; follow medical advice
✔️Secure 1 month+ supply of medication
✔️Keep distance from sick people
✔️Wash 👐 often
✔️🚭 or quit drinking 🍾
✔️Protect mental health

#coronavirus",2020-03-29 19:11:20.493025,2020-03-26 19:22:40.000000,1050,"[{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'coronavirus', 'indices': [267, 279]}]",49323,,Twitter for Android,None,None,None
85,1243245825184215040,World Health Organization (WHO),WHO,3281,"You may catch #COVID19 and be at risk of becoming severely ill, if you've a noncommunicable disease/a pre-existing condition such as:

❗️Cardiovascular disease
❗️Chronic respiratory disease
❗️Diabetes
❗️Cancer

Follow the advice from WHO 👉 https://t.co/bx8RdTRFz8 #coronavirus https://t.co/ThEpL7lLJv",2020-03-29 19:11:20.493028,2020-03-26 18:37:57.000000,4610,"[{'text': 'COVID19', 'indices': [14, 22]}, {'text': 'coronavirus', 'indices': [264, 276]}]",49323,,Twitter for Android,None,None,None
92,1243223758107705345,World Health Organization (WHO),WHO,50,The full address by @DrTedros at the @g20org Summit on #COVID19 👉 https://t.co/mwBmpRb8EA #coronavirus,2020-03-29 19:11:20.493050,2020-03-26 17:10:16.000000,112,"[{'text': 'COVID19', 'indices': [55, 63]}, {'text': 'coronavirus', 'indices': [90, 102]}]",49323,,Twitter Web App,None,None,None
93,1243223563487916033,World Health Organization (WHO),WHO,40,".@g20org tasked WHO &amp; other relevant orgs with assessing gaps in pandemic preparedness &amp; report the findings of this assessment to the G20 Finance &amp; Health Ministers, in order to establish a global initiative on pandemic preparedness &amp; response together. https://t.co/pdw8XIAYyq",2020-03-29 19:11:20.493054,2020-03-26 17:09:30.000000,121,[],49323,,Twitter Web App,None,None,None
94,1243223491207299072,World Health Organization (WHO),WHO,36,".@g20org pledged to work together to increase research and development funding for #COVID19 vaccines and medicines, strengthen international scientific cooperation, and leverage digital technologies. https://t.co/JlSYDn2NmM",2020-03-29 19:11:20.493057,2020-03-26 17:09:12.000000,91,"[{'text': 'COVID19', 'indices': [83, 91]}]",49323,,Twitter Web App,None,None,None
95,1243223405714903042,World Health Organization (WHO),WHO,24,The @g20org committed to support &amp; further strengthen WHO’s mandate in coordinating the #COVID19 response &amp; called for full funding of WHO‘s Strategic Preparedness and Response Plan 👉 https://t.co/JlSYDnkoLm,2020-03-29 19:11:20.493059,2020-03-26 17:08:52.000000,58,"[{'text': 'COVID19', 'indices': [92, 100]}]",49323,,Twitter Web App,None,None,None
96,1243223311242403847,World Health Organization (WHO),WHO,39,".@DrTedros welcomed @g20org commitment “to do whatever it takes to overcome the #COVID19 pandemic”:
-protect lives &amp; livelihoods
-restore confidence &amp; shore up stability currently threatened in trade &amp; other sectors
-take all necessary health measures
-ensure adequate financing",2020-03-29 19:11:20.493063,2020-03-26 17:08:30.000000,96,"[{'text': 'COVID19', 'indices': [80, 88]}]",49323,,Twitter Web App,None,None,None
97,1243222748215816204,World Health Organization (WHO),WHO,99,"""3⃣ ignite.
Repurpose the industrial might of your nations for this effort:
-Ignite 🌍 production for the tools we need to save lives now
-Ignite innovation for vaccines &amp; therapeutics
-Ignite a 🌍 movement to ensure this never happens again""-@DrTedros at @g20org Summit #COVID19",2020-03-29 19:11:20.493066,2020-03-26 17:06:15.000000,193,"[{'text': 'COVID19', 'indices': [273, 281]}]",49323,,Twitter Web App,None,None,None
98,1243222746743652353,World Health Organization (WHO),WHO,253,"""2⃣ unite.
No country can solve this crisis alone. That means a paradigm shift in global solidarity – in sharing experiences, expertise &amp; resources &amp; in working together to keep supply lines open &amp; supporting nations who need our support""-@DrTedros at @g20org Summit on #COVID19",2020-03-29 19:11:20.493069,2020-03-26 17:06:15.000000,618,"[{'text': 'COVID19', 'indices': [282, 290]}]",49323,,Twitter Web App,None,None,None
99,1243222744906563584,World Health Organization (WHO),WHO,128,"""Today, I have 3⃣ requests for our esteemed leaders:
1⃣ fight. Fight hard. Fight like hell.
Fight like your lives depend on it – because they do.
The best &amp; only way to protect life, livelihoods &amp; economies is to stop the #coronavirus""-@DrTedros at @g20org Summit on #COVID19",2020-03-29 19:11:20.493072,2020-03-26 17:06:15.000000,277,"[{'text': 'coronavirus', 'indices': [230, 242]}, {'text': 'COVID19', 'indices': [275, 283]}]",49323,,Twitter Web App,None,None,None
100,1243222591436972033,World Health Organization (WHO),WHO,61,"""The full social, economic and political fallout, only time will tell. But we know that the price we end up paying depends on the choices we make now.
This is a global crisis that demands a global response""-@DrTedros at @g20org Summit on #COVID19 #coronavirus",2020-03-29 19:11:20.493075,2020-03-26 17:05:38.000000,142,"[{'text': 'COVID19', 'indices': [238, 246]}, {'text': 'coronavirus', 'indices': [247, 259]}]",49323,,Twitter Web App,None,None,None
101,1243221941416230914,World Health Organization (WHO),WHO,1076,"""The #COVID19 pandemic is accelerating at an exponential rate.

The first 100,000 cases took 67 days.

The second 100,000 took 11 days.

The third 100,000 took just 4 days.

The fourth 100,000 just 2 days.

Without aggressive action in all countries, millions could die""-@DrTedros",2020-03-29 19:11:20.493078,2020-03-26 17:03:03.000000,1044,"[{'text': 'COVID19', 'indices': [5, 13]}]",49323,,Twitter Web App,None,None,None
102,1243221816883249157,World Health Organization (WHO),WHO,73,"""We come together to confront the defining health crisis of our time. We are at war with a virus that threatens to tear us apart – if we let it.
Almost 0.5 million people have already been infected &amp; more than 20,000 have lost their lives""-@DrTedros at @g20org Summit on #COVID19",2020-03-29 19:11:20.493081,2020-03-26 17:02:33.000000,191,"[{'text': 'COVID19', 'indices': [275, 283]}]",49323,,Twitter Web App,None,None,None
103,1243220608500084745,World Health Organization (WHO),WHO,309,".@DrTedros calls on @g20org to Fight, Unite, and Ignite against #COVID19 👉https://t.co/JlSYDnkoLm #coronavirus",2020-03-29 19:11:20.493084,2020-03-26 16:57:45.000000,980,"[{'text': 'COVID19', 'indices': [64, 72]}, {'text': 'coronavirus', 'indices': [98, 110]}]",49323,,Twitter Web App,None,None,None
104,1243160076501880835,World Health Organization (WHO),WHO,23,"During the coming weeks, critically-acclaimed professional artists from the film and music industries will review the films and recommend winners to @DrTedros. Four winners will be announced in May. Find out more at https://t.co/eZGQ9cCqCk
#Film4Health
https://t.co/48IxpKjq1l",2020-03-29 19:11:20.493087,2020-03-26 12:57:13.000000,115,"[{'text': 'Film4Health', 'indices': [240, 252]}]",49323,,Twitter Web App,None,None,None
105,1243149100947832832,World Health Organization (WHO),WHO,43,"WHO thanks Richard Curtis, Wagner Moura, @angeliquekidjo, @rickykej, Patrick Eveno and Barbara Miller for agreeing to serve on the #HealthForAll Film Festival jury. Find out more at https://t.co/eZGQ9cCqCk 
#Film4Health https://t.co/ijJfM4VMXl",2020-03-29 19:11:20.493091,2020-03-26 12:13:36.000000,236,"[{'text': 'HealthForAll', 'indices': [131, 144]}, {'text': 'Film4Health', 'indices': [207, 219]}]",49323,,Twitter Web App,None,None,None
106,1243123470445223937,World Health Organization (WHO),WHO,35,"In celebration of the Year of the Nurse and the Midwife, we created a category in our #HealthForAll Film Festival to showcase the many ways in which nurses &amp; midwives play a critical role in helping us stay healthy.
Check out our selection 👉 https://t.co/nO6T3KXzFN
#Film4Health https://t.co/j48InOrbsj",2020-03-29 19:11:20.493095,2020-03-26 10:31:46.000000,205,"[{'text': 'HealthForAll', 'indices': [86, 99]}, {'text': 'Film4Health', 'indices': [270, 282]}]",49323,,Twitter Web App,None,None,None
